source,class_id,alignment_norm,artifact_norm,composite_product,composite_harmonic
Sys_IMF_ref_3,633,0.88,0.69,0.62,0.77
Sys_IMF_ref_3,634,0.75,0.48,0.37,0.58
Sys_IMF_ref_3,645,0.8,0.39,0.33,0.51
Sys_IMF_ref_3,654,0.7,0.48,0.36,0.51
Sys_IMF_ref_3,679,0.92,0.72,0.66,0.81
Sys_IMF_ref_3,687,0.92,0.57,0.53,0.68
Sys_IMF_ref_3,730,0.77,0.52,0.41,0.61
Sys_IMF_ref_3,743,0.51,0.48,0.28,0.49
Sys_IMF_ref_3,746,0.83,0.54,0.45,0.64
Sys_IMF_ref_3,755,0.9,0.72,0.64,0.79
Sys_IMF_ref_3,756,0.76,0.61,0.48,0.68
Sys_IMF_ref_3,806,0.95,0.88,0.84,0.92
Sys_IMF_ref_3,810,0.68,0.54,0.39,0.57
Sys_IMF_ref_3,819,0.85,0.43,0.39,0.56
Sys_IMF_ref_3,836,0.0,0.47,0.0,0.0
Sys_IMF_ref_3,903,0.58,0.37,0.23,0.45
Sys_IMF_ref_3,917,0.52,0.38,0.21,0.42
Sys_IMF_ref_3,919,0.3,0.23,0.07,0.24
Sys_IMF_ref_3,920,0.81,0.67,0.59,0.73
Sys_IMF_ref_3,922,0.31,0.28,0.1,0.27
Sys_IMF_ref_3,928,0.56,0.51,0.37,0.51
Sys_IMF_ref_3,931,0.89,0.65,0.59,0.74
Sys_IMF_ref_3,943,0.64,0.7,0.41,0.56
Sys_IMF_ref_3,952,0.97,0.86,0.83,0.91
Sys_IMF_ref_3,960,0.82,0.69,0.57,0.73
Sys_IMF_ref_3,962,0.87,0.66,0.57,0.74
Sys_IMF_ref_3,968,0.91,0.69,0.65,0.76
Sys_IMF_ref_3,971,0.86,0.67,0.59,0.75
Sys_IMF_ref_3,972,0.86,0.68,0.63,0.75
Sys_IMF_ref_3,981,0.64,0.24,0.18,0.35
Sys_IMF_ref_3,982,0.52,0.29,0.19,0.34
Sys_IMF_ref_3,983,0.71,0.38,0.3,0.49
Sys_IMF_ref_3,985,0.72,0.74,0.55,0.72
Sys_IMF_ref_3,991,0.82,0.75,0.62,0.78
Sys_IMF_ref_3,999,0.47,0.37,0.14,0.27
User_IMF_1,4,0.91,0.48,0.43,0.6
User_IMF_1,7,0.8,0.44,0.37,0.55
User_IMF_1,10,0.98,0.8,0.78,0.86
User_IMF_1,25,0.88,0.68,0.59,0.73
User_IMF_1,35,0.78,0.6,0.47,0.66
User_IMF_1,39,0.95,0.64,0.62,0.74
User_IMF_1,49,0.93,0.76,0.71,0.83
User_IMF_1,51,0.94,0.8,0.76,0.86
User_IMF_1,52,0.76,0.6,0.5,0.65
User_IMF_1,64,0.77,0.68,0.57,0.71
User_IMF_1,80,0.9,0.6,0.53,0.69
User_IMF_1,97,0.88,0.88,0.78,0.86
User_IMF_1,106,0.95,0.68,0.66,0.78
User_IMF_1,116,1.0,0.84,0.84,0.91
User_IMF_1,118,0.71,0.68,0.49,0.69
User_IMF_1,129,0.74,0.64,0.47,0.67
User_IMF_1,144,0.78,0.48,0.42,0.57
User_IMF_1,147,0.96,0.56,0.55,0.68
User_IMF_1,150,0.86,0.64,0.55,0.72
User_IMF_1,156,1.0,0.56,0.56,0.71
User_IMF_1,159,0.81,0.4,0.34,0.53
User_IMF_1,281,0.97,0.68,0.66,0.8
User_IMF_1,300,0.92,0.88,0.82,0.9
User_IMF_1,322,0.89,0.88,0.79,0.88
User_IMF_1,330,0.81,0.6,0.5,0.66
User_IMF_1,333,0.9,0.52,0.49,0.64
User_IMF_1,339,0.72,0.64,0.5,0.62
User_IMF_1,347,0.98,0.68,0.67,0.79
User_IMF_1,356,0.95,0.56,0.52,0.67
User_IMF_1,365,0.83,0.72,0.61,0.76
User_IMF_1,370,0.97,0.52,0.51,0.67
User_IMF_1,389,0.29,0.48,0.14,0.34
User_IMF_1,392,1.0,0.64,0.64,0.77
User_IMF_1,394,0.81,0.56,0.48,0.65
User_IMF_1,396,0.97,0.76,0.74,0.85
User_IMF_1,400,0.53,0.4,0.29,0.39
User_IMF_1,405,0.73,0.52,0.37,0.59
User_IMF_1,406,0.91,0.72,0.65,0.79
User_IMF_1,413,0.67,0.48,0.36,0.55
User_IMF_1,415,0.94,0.52,0.49,0.66
User_IMF_1,419,0.55,0.4,0.3,0.43
User_IMF_1,421,0.53,0.4,0.2,0.39
User_IMF_1,426,0.6,0.36,0.21,0.44
User_IMF_1,429,0.65,0.36,0.26,0.42
User_IMF_1,432,0.97,0.52,0.51,0.64
User_IMF_1,443,0.95,0.56,0.53,0.67
User_IMF_1,446,0.68,0.6,0.37,0.52
User_IMF_1,453,0.6,0.48,0.34,0.51
User_IMF_1,461,0.84,0.68,0.58,0.74
User_IMF_1,477,0.64,0.6,0.39,0.6
User_IMF_1,479,0.77,0.6,0.47,0.65
User_IMF_1,481,0.86,0.68,0.59,0.75
User_IMF_1,488,0.87,0.76,0.66,0.79
User_IMF_1,499,0.76,0.36,0.27,0.45
User_IMF_1,529,0.77,0.72,0.55,0.72
User_IMF_1,535,0.71,0.76,0.54,0.73
User_IMF_1,554,0.0,0.6,0.0,0.0
User_IMF_1,567,0.94,0.48,0.47,0.63
User_IMF_1,575,0.86,0.48,0.44,0.6
User_IMF_1,585,0.85,0.44,0.39,0.55
User_IMF_1,590,0.8,0.48,0.37,0.57
User_IMF_1,605,0.63,0.28,0.18,0.37
User_IMF_1,606,0.72,0.52,0.43,0.56
User_IMF_1,626,0.93,0.72,0.69,0.81
User_IMF_1,632,0.58,0.6,0.39,0.54
User_IMF_1,633,0.63,0.48,0.36,0.54
User_IMF_1,634,0.37,0.48,0.2,0.37
User_IMF_1,645,0.85,0.48,0.42,0.6
User_IMF_1,654,0.82,0.48,0.44,0.59
User_IMF_1,679,0.66,0.68,0.44,0.63
User_IMF_1,687,0.93,0.72,0.68,0.81
User_IMF_1,730,0.76,0.56,0.43,0.63
User_IMF_1,743,0.47,0.48,0.29,0.38
User_IMF_1,746,0.72,0.56,0.39,0.59
User_IMF_1,755,1.0,0.68,0.68,0.8
User_IMF_1,756,0.79,0.64,0.51,0.7
User_IMF_1,806,0.98,0.88,0.86,0.92
User_IMF_1,810,0.65,0.4,0.28,0.43
User_IMF_1,819,1.0,0.52,0.52,0.64
User_IMF_1,836,0.03,0.44,0.01,0.03
User_IMF_1,903,0.81,0.4,0.33,0.52
User_IMF_1,917,0.84,0.28,0.23,0.4
User_IMF_1,919,0.44,0.2,0.09,0.26
User_IMF_1,920,0.77,0.72,0.55,0.64
User_IMF_1,922,0.22,0.24,0.06,0.21
User_IMF_1,928,0.59,0.52,0.33,0.52
User_IMF_1,931,0.92,0.76,0.7,0.83
User_IMF_1,943,0.7,0.72,0.53,0.64
User_IMF_1,952,1.0,0.92,0.92,0.95
User_IMF_1,960,0.92,0.72,0.66,0.8
User_IMF_1,962,0.91,0.64,0.59,0.74
User_IMF_1,968,1.0,0.64,0.64,0.74
User_IMF_1,971,0.93,0.52,0.49,0.64
User_IMF_1,972,0.92,0.68,0.64,0.78
User_IMF_1,981,0.4,0.36,0.19,0.36
User_IMF_1,982,0.58,0.3,0.19,0.34
User_IMF_1,983,0.69,0.52,0.42,0.56
User_IMF_1,985,0.54,0.76,0.44,0.6
User_IMF_1,991,0.91,0.76,0.7,0.82
User_IMF_1,999,0.35,0.4,0.15,0.27
User_IMF_2,4,0.98,0.6,0.59,0.73
User_IMF_2,7,0.8,0.48,0.39,0.6
User_IMF_2,10,0.93,0.84,0.79,0.88
User_IMF_2,25,0.8,0.72,0.57,0.74
User_IMF_2,35,0.67,0.56,0.42,0.59
User_IMF_2,39,0.93,0.76,0.71,0.82
User_IMF_2,49,0.95,0.76,0.72,0.84
User_IMF_2,51,0.94,0.76,0.72,0.82
User_IMF_2,52,0.76,0.72,0.55,0.71
User_IMF_2,64,0.85,0.76,0.66,0.79
User_IMF_2,80,0.88,0.68,0.59,0.75
User_IMF_2,97,0.88,0.92,0.82,0.88
User_IMF_2,106,0.95,0.72,0.7,0.8
User_IMF_2,116,1.0,0.8,0.8,0.89
User_IMF_2,118,0.83,0.56,0.47,0.66
User_IMF_2,129,0.81,0.56,0.45,0.65
User_IMF_2,144,0.72,0.44,0.39,0.51
User_IMF_2,147,1.0,0.8,0.8,0.88
User_IMF_2,150,0.64,0.64,0.42,0.62
User_IMF_2,156,0.94,0.72,0.7,0.81
User_IMF_2,159,0.69,0.52,0.41,0.58
User_IMF_2,281,0.94,0.56,0.52,0.69
User_IMF_2,300,0.98,0.84,0.82,0.9
User_IMF_2,322,0.86,0.88,0.77,0.86
User_IMF_2,330,0.81,0.6,0.49,0.67
User_IMF_2,333,0.97,0.48,0.46,0.61
User_IMF_2,339,0.87,0.56,0.5,0.64
User_IMF_2,347,0.98,0.56,0.54,0.66
User_IMF_2,356,0.8,0.64,0.54,0.69
User_IMF_2,365,0.82,0.76,0.63,0.77
User_IMF_2,370,0.97,0.64,0.63,0.76
User_IMF_2,389,0.42,0.48,0.2,0.41
User_IMF_2,392,1.0,0.68,0.68,0.81
User_IMF_2,394,0.73,0.52,0.41,0.58
User_IMF_2,396,1.0,0.8,0.8,0.88
User_IMF_2,400,0.87,0.36,0.33,0.46
User_IMF_2,405,0.71,0.36,0.24,0.45
User_IMF_2,406,0.95,0.72,0.69,0.82
User_IMF_2,413,0.69,0.56,0.36,0.54
User_IMF_2,415,0.94,0.68,0.64,0.78
User_IMF_2,419,0.58,0.4,0.29,0.43
User_IMF_2,421,0.5,0.48,0.18,0.34
User_IMF_2,426,0.6,0.48,0.28,0.5
User_IMF_2,429,0.55,0.32,0.21,0.37
User_IMF_2,432,0.9,0.52,0.5,0.64
User_IMF_2,443,0.93,0.56,0.52,0.67
User_IMF_2,446,0.71,0.56,0.39,0.51
User_IMF_2,453,0.79,0.44,0.35,0.53
User_IMF_2,461,0.87,0.64,0.56,0.73
User_IMF_2,477,0.6,0.56,0.34,0.56
User_IMF_2,479,0.74,0.6,0.5,0.63
User_IMF_2,481,0.87,0.68,0.59,0.75
User_IMF_2,488,0.98,0.84,0.83,0.9
User_IMF_2,499,0.4,0.32,0.12,0.18
User_IMF_2,529,0.77,0.72,0.55,0.72
User_IMF_2,535,0.75,0.72,0.53,0.72
User_IMF_2,554,0.1,0.56,0.06,0.11
User_IMF_2,567,0.94,0.64,0.63,0.75
User_IMF_2,575,0.91,0.44,0.4,0.57
User_IMF_2,585,0.77,0.56,0.47,0.64
User_IMF_2,590,0.77,0.52,0.41,0.61
User_IMF_2,605,0.37,0.4,0.16,0.32
User_IMF_2,606,0.72,0.44,0.37,0.5
User_IMF_2,626,0.73,0.64,0.51,0.59
User_IMF_2,632,0.55,0.64,0.35,0.51
User_IMF_2,633,0.64,0.52,0.33,0.52
User_IMF_2,634,0.63,0.52,0.33,0.55
User_IMF_2,645,0.69,0.48,0.33,0.49
User_IMF_2,654,0.8,0.4,0.32,0.48
User_IMF_2,679,0.79,0.64,0.5,0.7
User_IMF_2,687,0.93,0.64,0.6,0.75
User_IMF_2,730,0.81,0.48,0.4,0.59
User_IMF_2,743,0.87,0.48,0.45,0.61
