source,class_id,alignment_norm,artifact_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_RAEv2_ref,654,0.7,0.65,0.5,0.67,1.15,0.96,0.58,0.48,0.77,0.64
Sys_RAEv2_ref,679,0.84,0.75,0.63,0.79,0.89,1.06,0.56,0.67,0.7,0.84
Sys_RAEv2_ref,687,0.97,0.85,0.83,0.9,0.32,0.76,0.27,0.63,0.29,0.68
Sys_RAEv2_ref,730,0.68,0.65,0.46,0.61,1.15,0.86,0.53,0.4,0.7,0.52
Sys_RAEv2_ref,743,0.93,0.51,0.48,0.63,1.08,0.81,0.52,0.39,0.68,0.51
Sys_RAEv2_ref,746,0.5,0.49,0.27,0.39,0.77,1.47,0.2,0.39,0.3,0.57
Sys_RAEv2_ref,755,0.97,0.82,0.8,0.89,0.19,0.76,0.15,0.61,0.16,0.68
Sys_RAEv2_ref,756,0.79,0.63,0.51,0.69,2.14,0.73,1.1,0.37,1.48,0.5
Sys_RAEv2_ref,806,0.91,0.83,0.76,0.86,0.91,0.89,0.69,0.67,0.78,0.77
Sys_RAEv2_ref,810,0.6,0.61,0.37,0.55,0.56,1.37,0.21,0.51,0.31,0.75
Sys_RAEv2_ref,819,0.74,0.33,0.24,0.45,0.45,0.88,0.11,0.21,0.2,0.39
Sys_RAEv2_ref,836,0.43,0.58,0.35,0.41,1.42,0.94,0.5,0.33,0.59,0.39
Sys_RAEv2_ref,903,0.62,0.67,0.42,0.58,1.32,0.91,0.56,0.39,0.76,0.52
Sys_RAEv2_ref,917,0.49,0.43,0.25,0.44,1.23,1.01,0.31,0.25,0.55,0.45
Sys_RAEv2_ref,919,0.65,0.47,0.31,0.53,1.47,0.82,0.45,0.25,0.78,0.43
Sys_RAEv2_ref,920,0.73,0.64,0.5,0.68,0.8,0.99,0.39,0.49,0.54,0.67
Sys_RAEv2_ref,922,0.25,0.28,0.07,0.26,0.45,0.75,0.03,0.06,0.12,0.19
Sys_RAEv2_ref,928,0.9,0.69,0.63,0.77,2.75,0.91,1.73,0.58,2.13,0.71
Sys_RAEv2_ref,931,0.89,0.74,0.66,0.8,0.91,1.23,0.6,0.82,0.73,0.99
Sys_RAEv2_ref,943,0.87,0.68,0.6,0.76,0.88,0.91,0.53,0.54,0.67,0.69
Sys_RAEv2_ref,952,0.96,0.93,0.9,0.94,1.01,1.02,0.91,0.92,0.95,0.97
Sys_RAEv2_ref,960,0.95,0.65,0.63,0.77,3.17,0.89,1.98,0.56,2.45,0.69
Sys_RAEv2_ref,962,0.83,0.67,0.56,0.74,0.72,0.96,0.41,0.54,0.53,0.71
Sys_RAEv2_ref,968,0.65,0.55,0.36,0.51,2.04,0.92,0.73,0.33,1.05,0.47
Sys_RAEv2_ref,971,0.74,0.63,0.48,0.67,0.52,1.15,0.25,0.56,0.35,0.77
Sys_RAEv2_ref,972,0.78,0.88,0.69,0.8,2.44,1.0,1.69,0.7,1.94,0.8
Sys_RAEv2_ref,981,0.69,0.3,0.21,0.41,0.73,1.08,0.15,0.22,0.3,0.45
Sys_RAEv2_ref,982,0.68,0.49,0.37,0.51,0.99,0.76,0.36,0.28,0.51,0.39
Sys_RAEv2_ref,983,0.83,0.59,0.51,0.69,0.44,0.83,0.22,0.42,0.3,0.57
Sys_RAEv2_ref,985,0.96,0.95,0.91,0.95,1.59,0.69,1.45,0.63,1.52,0.66
Sys_RAEv2_ref,991,0.92,0.75,0.69,0.81,0.66,1.03,0.46,0.72,0.54,0.84
Sys_RAEv2_ref,999,0.93,0.64,0.6,0.75,1.23,0.96,0.74,0.58,0.93,0.72
User_DiT_1,4,1.0,0.8,0.8,0.88,0.97,0.87,0.78,0.69,0.86,0.77
User_DiT_1,7,0.92,0.68,0.62,0.76,0.67,0.99,0.42,0.61,0.51,0.75
User_DiT_1,10,0.66,0.8,0.55,0.69,1.06,1.14,0.59,0.63,0.73,0.79
User_DiT_1,25,0.93,0.76,0.73,0.83,1.36,1.02,1.0,0.75,1.13,0.85
User_DiT_1,35,0.92,0.76,0.7,0.83,1.26,1.04,0.89,0.74,1.05,0.87
User_DiT_1,39,0.95,0.76,0.73,0.84,0.9,1.05,0.66,0.77,0.76,0.88
User_DiT_1,49,1.0,0.84,0.84,0.91,1.11,1.11,0.93,0.93,1.01,1.0
User_DiT_1,51,0.8,0.8,0.76,0.78,0.98,1.06,0.74,0.81,0.76,0.83
User_DiT_1,52,0.86,0.76,0.7,0.79,2.12,0.9,1.49,0.63,1.69,0.71
User_DiT_1,64,0.72,0.72,0.52,0.71,1.32,1.05,0.69,0.55,0.94,0.75
User_DiT_1,80,0.82,0.52,0.52,0.62,0.55,0.89,0.28,0.46,0.34,0.55
User_DiT_1,97,1.0,0.88,0.88,0.93,1.36,0.81,1.2,0.71,1.26,0.75
User_DiT_1,106,0.97,0.68,0.65,0.79,3.48,1.05,2.27,0.69,2.75,0.83
User_DiT_1,116,1.0,0.88,0.88,0.93,0.85,1.42,0.75,1.25,0.79,1.33
User_DiT_1,118,0.72,0.64,0.48,0.66,1.31,0.95,0.63,0.46,0.86,0.62
User_DiT_1,129,0.77,0.64,0.5,0.69,0.59,0.91,0.29,0.45,0.41,0.63
User_DiT_1,144,0.93,0.6,0.56,0.72,1.0,0.89,0.56,0.5,0.72,0.64
User_DiT_1,147,1.0,0.8,0.8,0.88,1.1,0.98,0.88,0.79,0.97,0.87
User_DiT_1,150,0.88,0.76,0.66,0.8,1.37,0.94,0.91,0.62,1.1,0.75
User_DiT_1,156,1.0,0.64,0.64,0.77,0.6,1.02,0.38,0.65,0.46,0.78
User_DiT_1,159,0.49,0.4,0.24,0.4,1.0,0.92,0.23,0.22,0.4,0.37
User_DiT_1,281,1.0,0.44,0.44,0.61,1.67,0.96,0.74,0.42,1.02,0.58
User_DiT_1,300,0.93,0.92,0.86,0.92,0.52,0.88,0.45,0.76,0.48,0.81
